CMDLINE C:\Users\guill\Documents\gravity_sim\env\python.exe src/ui/main.py
MEM 343.085938 1697077072.7509
MEM 346.328125 1697077072.8514
MEM 349.453125 1697077072.9519
MEM 353.347656 1697077073.0523
MEM 357.648438 1697077073.1526
MEM 360.753906 1697077073.2528
MEM 364.898438 1697077073.3533
MEM 369.753906 1697077073.4536
MEM 372.753906 1697077073.5538
MEM 374.605469 1697077073.6543
MEM 379.027344 1697077073.7548
MEM 380.972656 1697077073.8551
MEM 383.929688 1697077073.9553
MEM 375.968750 1697077074.0557
MEM 379.933594 1697077074.1558
MEM 383.835938 1697077074.2562
MEM 386.894531 1697077074.3567
MEM 390.875000 1697077074.4572
MEM 394.406250 1697077074.5577
MEM 399.136719 1697077074.6582
MEM 401.613281 1697077074.7589
MEM 406.324219 1697077074.8592
MEM 409.417969 1697077074.9594
MEM 413.429688 1697077075.0597
MEM 410.722656 1697077075.1601
MEM 421.078125 1697077075.2606
MEM 423.980469 1697077075.3611
MEM 436.699219 1697077075.4616
MEM 432.472656 1697077075.5618
MEM 436.359375 1697077075.6624
MEM 447.656250 1697077075.7626
MEM 443.347656 1697077075.8631
MEM 446.859375 1697077075.9633
MEM 450.507812 1697077076.0637
MEM 455.007812 1697077076.1641
MEM 450.203125 1697077076.2643
MEM 452.093750 1697077076.3646
MEM 457.937500 1697077076.4651
MEM 461.753906 1697077076.5656
MEM 465.371094 1697077076.6658
MEM 468.425781 1697077076.7665
MEM 471.839844 1697077076.8666
MEM 475.152344 1697077076.9672
MEM 479.609375 1697077077.0677
MEM 483.207031 1697077077.1681
MEM 486.667969 1697077077.2687
MEM 498.250000 1697077077.3692
MEM 494.394531 1697077077.4696
MEM 497.925781 1697077077.5702
MEM 501.363281 1697077077.6703
MEM 505.851562 1697077077.7707
MEM 510.050781 1697077077.8708
MEM 513.261719 1697077077.9712
MEM 516.996094 1697077078.0716
MEM 519.777344 1697077078.1721
MEM 523.632812 1697077078.2722
MEM 526.722656 1697077078.3724
MEM 530.386719 1697077078.4727
MEM 534.675781 1697077078.5733
MEM 537.546875 1697077078.6735
MEM 540.644531 1697077078.7736
MEM 545.050781 1697077078.8741
MEM 548.019531 1697077078.9747
MEM 550.972656 1697077079.0752
MEM 555.894531 1697077079.1757
MEM 558.945312 1697077079.2761
MEM 562.054688 1697077079.3766
MEM 566.429688 1697077079.4768
MEM 569.644531 1697077079.5772
MEM 573.898438 1697077079.6774
MEM 577.753906 1697077079.7778
MEM 580.167969 1697077079.8781
MEM 584.140625 1697077079.9786
MEM 587.437500 1697077080.0791
MEM 590.914062 1697077080.1797
MEM 595.234375 1697077080.2802
MEM 598.035156 1697077080.3807
MEM 610.593750 1697077080.4813
MEM 606.527344 1697077080.5815
MEM 608.402344 1697077080.6817
MEM 612.531250 1697077080.7821
MEM 615.542969 1697077080.8827
MEM 628.238281 1697077080.9830
MEM 624.933594 1697077081.0836
MEM 627.234375 1697077081.1841
MEM 631.062500 1697077081.2842
MEM 634.238281 1697077081.3847
MEM 645.570312 1697077081.4849
